city,lat,lng,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,extracted_at,temp_category,precip_category,wind_category,risk_score,risk_level
Barrechid,33.27,-7.5872,2026-09-21,35.4,20.2,0.0,0,18.4,37.8,2,2026-09-20 18:33:35.168118,temperature moderee,faibles pluies,Calme,7.5,faible
Barrechid,33.27,-7.5872,2026-09-22,35.3,19.2,0.0,0,17.3,32.8,1,2026-09-20 18:33:35.168118,temperature moderee,faibles pluies,Calme,7.5,faible
Barrechid,33.27,-7.5872,2026-09-23,33.2,17.6,0.0,0,19.3,36.0,45,2026-09-20 18:33:35.168118,temperature moderee,faibles pluies,Calme,0.0,faible
Barrechid,33.27,-7.5872,2026-09-24,32.4,18.7,0.0,0,17.0,31.3,45,2026-09-20 18:33:35.168118,temperature moderee,faibles pluies,Calme,0.0,faible
Ad Dakhla,23.7167,-15.95,2026-09-18,21.3,20.5,0.0,0,35.9,44.6,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Vent modéré,7.5,faible
Ad Dakhla,23.7167,-15.95,2026-09-19,21.2,19.9,0.0,0,29.2,36.4,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Calme,0.0,faible
Ad Dakhla,23.7167,-15.95,2026-09-20,21.6,19.5,0.0,0,28.2,34.9,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Calme,0.0,faible
Ad Dakhla,23.7167,-15.95,2026-09-21,21.6,20.3,0.0,14,29.6,37.1,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Calme,0.0,faible
Ad Dakhla,23.7167,-15.95,2026-09-22,22.0,20.4,0.0,18,31.3,40.0,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Vent modéré,7.5,faible
Ad Dakhla,23.7167,-15.95,2026-09-23,22.1,20.2,0.0,4,29.0,38.2,0,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Calme,0.0,faible
Ad Dakhla,23.7167,-15.95,2026-09-24,23.0,20.5,0.0,8,22.9,35.6,3,2026-09-20 18:33:35.355589,temperature bien,faibles pluies,Calme,0.0,faible
Nador,35.1667,-2.9333,2026-09-18,25.2,21.8,1.6,3,16.0,36.0,80,2026-09-20 18:33:35.534792,temperature bien,faibles pluies,Calme,0.0,faible
Nador,35.1667,-2.9333,2026-09-19,25.2,22.8,5.9,5,20.9,50.4,80,2026-09-20 18:33:35.534792,temperature bien,pluie moderee,Calme,15.0,faible
Nador,35.1667,-2.9333,2026-09-20,25.7,23.1,7.5,15,24.3,51.5,95,2026-09-20 18:33:35.534792,temperature bien,pluie moderee,Calme,15.0,faible
Nador,35.1667,-2.9333,2026-09-21,26.0,23.2,0.0,3,15.5,37.1,3,2026-09-20 18:33:35.534792,temperature bien,faibles pluies,Calme,0.0,faible
Nador,35.1667,-2.9333,2026-09-22,25.9,21.7,0.0,0,13.5,30.2,2,2026-09-20 18:33:35.534792,temperature bien,faibles pluies,Calme,0.0,faible
Nador,35.1667,-2.9333,2026-09-23,27.1,19.7,0.0,0,15.5,28.1,45,2026-09-20 18:33:35.534792,temperature bien,faibles pluies,Calme,0.0,faible
Nador,35.1667,-2.9333,2026-09-24,27.9,16.2,0.0,0,12.7,26.3,45,2026-09-20 18:33:35.534792,temperature bien,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-18,29.2,17.4,0.0,0,18.8,39.2,2,2026-09-20 18:33:35.725963,temperature bien,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-19,29.3,19.3,0.0,3,23.8,50.0,3,2026-09-20 18:33:35.725963,temperature bien,faibles pluies,Calme,15.0,faible
Taza,34.2144,-4.0088,2026-09-20,30.2,20.8,0.0,0,19.4,41.8,3,2026-09-20 18:33:35.725963,temperature moderee,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-21,28.8,20.6,0.0,0,19.8,41.4,3,2026-09-20 18:33:35.725963,temperature bien,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-22,29.7,17.6,0.0,0,17.6,37.4,1,2026-09-20 18:33:35.725963,temperature bien,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-23,32.2,18.0,0.0,0,19.5,36.4,2,2026-09-20 18:33:35.725963,temperature moderee,faibles pluies,Calme,0.0,faible
Taza,34.2144,-4.0088,2026-09-24,33.7,17.9,0.0,0,12.1,24.5,0,2026-09-20 18:33:35.725963,temperature moderee,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-18,24.7,19.0,0.0,0,12.4,34.9,2,2026-09-20 18:33:35.905574,temperature bien,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-19,24.7,19.8,0.0,0,15.1,40.7,45,2026-09-20 18:33:35.905574,temperature bien,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-20,25.6,19.6,0.0,0,13.7,39.2,45,2026-09-20 18:33:35.905574,temperature bien,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-21,30.4,20.3,0.0,0,10.5,28.8,3,2026-09-20 18:33:35.905574,temperature moderee,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-22,30.2,20.9,0.0,0,11.7,35.6,45,2026-09-20 18:33:35.905574,temperature moderee,faibles pluies,Calme,0.0,faible
Inezgane,30.3658,-9.5381,2026-09-23,35.9,20.2,0.0,0,13.6,27.7,45,2026-09-20 18:33:35.905574,temperature moderee,faibles pluies,Calme,7.5,faible
Inezgane,30.3658,-9.5381,2026-09-24,34.3,18.5,0.0,0,13.6,27.7,45,2026-09-20 18:33:35.905574,temperature moderee,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-18,27.7,14.4,0.0,0,15.9,29.9,45,2026-09-20 18:33:36.087714,temperature bien,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-19,35.1,18.6,0.0,0,21.1,37.8,1,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,7.5,faible
Larache,35.1833,-6.15,2026-09-20,34.5,23.0,0.0,0,15.6,28.8,1,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-21,33.0,22.5,0.0,0,15.0,27.7,1,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-22,31.8,18.8,0.0,0,17.5,32.8,0,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-23,31.9,18.1,0.0,0,15.8,29.9,1,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,0.0,faible
Larache,35.1833,-6.15,2026-09-24,30.7,16.3,0.0,0,14.3,26.6,3,2026-09-20 18:33:36.087714,temperature moderee,faibles pluies,Calme,0.0,faible
Al Khmissat,33.81,-6.06,2026-09-18,30.0,15.4,0.0,0,17.3,36.4,3,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,0.0,faible
Al Khmissat,33.81,-6.06,2026-09-19,35.1,18.4,0.0,0,14.5,30.2,2,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,7.5,faible
Al Khmissat,33.81,-6.06,2026-09-20,36.1,21.2,0.0,0,15.4,31.7,2,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,7.5,faible
Al Khmissat,33.81,-6.06,2026-09-21,35.9,20.8,0.0,0,14.5,30.2,0,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,7.5,faible
Al Khmissat,33.81,-6.06,2026-09-22,34.2,19.6,0.0,0,14.7,32.0,0,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,0.0,faible
Al Khmissat,33.81,-6.06,2026-09-23,34.5,17.7,0.0,0,15.1,28.8,0,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,0.0,faible
Al Khmissat,33.81,-6.06,2026-09-24,35.2,16.3,0.0,0,17.2,33.5,3,2026-09-20 18:33:36.273037,temperature moderee,faibles pluies,Calme,7.5,faible
